sentiment,tweet_preproc
Neutral,todays google great hit fire hydrant hydrant time spoiler fire hydrant half hydrant total question type hydrant half book google comngramsgraphc
Neutral,todays google great hit fire hydrant hydrant time spoiler fire hydrant half hydrant total question kind hydrant s half book google com ngrams graph c
Neutral,todays great achievement google fire hydrant hydrant time spoiler fire hydrant make half total hydrant supply
Neutral,todays google great hit fire garden lose hydrant time spoiler fire hydrant bad half hydrant question type hydrant book google comngramsgraphc
Neutral,  todays google s great motor hit fire secondary hydrant secondary hydrant change time spoiler fire secondary hydrant half hydrant color total question type s primary hydrant s half book google com ngrams graph c
Neutral,unks google great hit fire hydrant hydrant review fire hydrant half power hydrant total comment type hydrant half
Irrelevant,time eu commission take step
Irrelevant,time despite fact currently million people live poverty line access health service access health care access health care
Negative,start like
Negative,start like
Negative,realistically start like
Negative,like
Negative,  start like
Negative,hard like
Neutral,early check stick google search google search photo like people go battery shit woozyface woozyface rollingonthefloorlaughe rollingonthefloorlaughe rollingonthefloorlaughe rollingonthefloorlaughe
Neutral,check stick google search google search photo people battery shit
Neutral,check paste google search google search photo people go battery shit
Neutral,early check perform google search google image photo like people go battery shit
Neutral,early check stick google search google search photo like people aren t go battery shit unk
Neutral,early check stick google search google search photo like people go battery flash unk
Neutral,agree site address cause change google facebook
Neutral,site mention cause change google facebook
Neutral,agree site visit cause change google facebook
Neutral,agree site developer address believe cause change google facebook
Neutral,completely agree site address cause change call google change facebook
Neutral,agree major site address cause change google facebook
Neutral,google warn user india account target statesponsore attackers medianama comgo
Neutral,google warn user india account target statesponsore attacker
Neutral,google warn user india account target statesponsore hacker medianama com
Neutral,google warn user january gmail account target statesponsore attackers medianama comgo
Neutral,google warn facebook user india yahoo account target islamic state sponsor attacker medianama com
Neutral,google warn user india account freeze chinesesponsored censorship medianama comgo
Negative,look online google search engine video republican convention google helpful turn duckduckgo get immediate helpful link like google want find video
Negative,search online google search engine video republican convention google helpful turn duckduckgo immediately get helpful link like google want find video
